BAG	Bagley Hall (East Entrance)	1914.5103	1709.8816
BAG (NE)	Bagley Hall (Northeast Entrance)	1878.3786	1661.4083
BGR	By George	1671.5499	1258.4333
CSE	Paul G. Allen Center for Computer Science & Engineering	2259.7112	1715.5273
DEN	Denny Hall	1890.0	892.57144
EEB	Electrical Engineering Building (North Entrance)	2159.9587	1694.8192
EEB (S)	Electrical Engineering Building (South Entrance)	2135.2099	1741.5387
GWN	Gowen Hall	2022.3254	1210.9561
KNE	Kane Hall (North Entrance)	1876.6109	1165.2467
KNE (E)	Kane Hall (East Entrance)	1874.338	1212.4713
KNE (SE)	Kane Hall (Southeast Entrance)	1835.1946	1241.0081
KNE (S)	Kane Hall (South Entrance)	1812.7187	1230.149
KNE (SW)	Kane Hall (Southwest Entrance)	1787.2124	1218.5323
LOW	Loew Hall	2375.6262	1576.1262
MGH	Mary Gates Hall (North Entrance)	1973.1382	1433.6676
MGH (E)	Mary Gates Hall (East Entrance)	2043.1036	1514.917
MGH (S)	Mary Gates Hall (South Entrance)	2057.1756	1564.762
MGH (SW)	Mary Gates Hall (Southwest Entrance)	1971.6531	1551.6673
MLR	Miller Hall	2184.7074	1045.0386
MOR	Moore Hall	2317.1749	1859.502
MUS	Music Building (Northwest Entrance)	2202.5882	957.31147
MUS (E)	Music Building (East Entrance)	2261.6656	1011.4323
MUS (SW)	Music Building (Southwest Entrance)	2243.4795	1040.5275
MUS (S)	Music Building (South Entrance)	2255.3257	1048.2583
OUG	Odegaard Undergraduate Library	1724.1276	1208.4754
PAA	Physics/Astronomy Building A	1625.2679	1783.5181
PAB	Physics/Astronomy Building	1560.6467	1698.3767
SAV	Savery Hall	1951.8672	1094.7886
SUZ	Suzzallo Library	1895.8038	1325.861
T65	Thai 65	1370.6408	807.35188
FSH	Fishery Sciences Building	1061.8213	1779.6903
MCC	McCarty Hall (Main Entrance)	2345.7143	528.64286
MCC (S)	McCarty Hall (South Entrance)	2437.4981	610.1679
UBS	University Bookstore	1373.6078	556.55779
UBS (Secret)	University Bookstore (Secret Entrance)	1440.1364	520.85309
RAI	Raitt Hall (West Entrance)	2024.5103	993.01223
RAI (E)	Raitt Hall (East Entrance)	2094.2987	956.90276
ROB	Roberts Hall	2309.4107	1979.0003
CHL	Chemistry Library (West Entrance)	1707.6629	1671.5098
CHL (NE)	Chemistry Library (Northeast Entrance)	1746.0487	1672.52
CHL (SE)	Chemistry Library (Southeast Entrance)	1762.7162	1708.8855
IMA	Intramural Activities Building	2722.3352	1710.2859
HUB	Student Union Building (Main Entrance)	2269.7856	1364.3777
HUB (Food, W)	Student Union Building (West Food Entrance)	2270.8682	1388.1961
HUB (Food, S)	Student Union Building (South Food Entrance)	2309.3025	1450.4487
MNY	Meany Hall (Northeast Entrance)	1684.1768	1297.0716
MNY (NW)	Meany Hall (Northwest Entrance)	1658.923	1295.8089
PAR	Parrington Hall	1715.3571	1060.4286
MCM	McMahon Hall (Northwest Entrance)	2446.9314	898.06137
MCM (SW)	McMahon Hall (Southwest Entrance)	2419.3153	921.79995
CMU	Communications Building	2344.8512	1114.6251
